,Title,Subject,Grade,StDevSentWdEntropy,AvgWordChEntropy,StDevWordChEntropy,ChNgramEntropy_2,AvgWordWdLen,StDevSentWdLen,AvgWordWdDiffLemma,AvgWordWdPolysemy,AvgWordNmdEnt_person,AvgDocAdjCoh_BLOCK,MidEndCohesion,TransCoh,AvgWordWdMaxDpthHypernymTree
0,Cainele,biologie,10.0,0.4301058675012334,1.0987045345157311,0.6883292981094855,0.8473804326471532,4.439842209072978,3.0154133649657524,0.4299802761341223,6.712328767123287,0.02958579881656805,0.6255870376090069,0.5840742148002882,0.4416726770050466,6.123287671232878
1,Referat Natura si folclorul- taramuri ale universului mitic exprimat in variate forme concrete si spirituale,romana,5.34,0.982372259110198,1.1160054793973302,0.7486191366321645,0.8838762129155767,4.581189710610931,3.2213587074628403,0.4638263665594855,5.159638554216867,0.0747588424437299,0.3987989359244633,0.0875817632649305,0.7346129406062729,5.599397590361447
2,Referat Moby Dick,romana,6.38,0.7584714137211133,1.1127212749573008,0.8096442899247405,0.9228971998325136,4.8287545787545785,3.645996147380844,0.4844322344322344,6.686046511627908,0.03296703296703297,0.226177857706286,0.6685669658029822,0.6283886222063576,5.7441860465116275
3,Referat Tehnici de modificare a comportamentului.,psihologie,5.61,0.918330600213397,0.9920411066743556,0.7864950944044095,0.8899174661771059,4.201754385964914,3.195001712600062,0.3294346978557505,4.372294372294372,0.029239766081871343,0.2485199951149361,0.5671998673910025,0.5989941833169964,6.2813852813852815
4,Referat Revolutia stiintifica si progresul tehnic,istorie,5.58,1.5518934603151993,0.9638946685282817,0.7832347767897533,0.8757964067034623,4.083682008368201,3.3058647478598284,0.5341701534170153,5.784530386740332,0.02092050209205021,0.007987103554976031,0.9342707588498907,0.7508973425940179,5.895027624309393
5,Referat Moartea lui Gelu,romana,5.67,0.819647986713457,1.1080079297920342,0.6534269397977368,0.9191864550062014,4.291358024691357,2.872252186063996,0.4808641975308642,7.234215885947047,0.03518518518518519,0.5495592281447069,0.09318776118257456,0.7818174369537825,5.859470468431772
6,Referat Lacul de Mihai Eminescu,romana,5.56,0.9554865957983892,1.0889725011148454,0.7232182415326329,0.8577148508232653,4.487573964497042,3.1118789996280523,0.5431952662721894,6.391634980988593,0.030769230769230767,0.29658926261891594,0.04844393288037696,0.724136942511155,6.2129277566539916
7,Viata Cotidiana,istorie,8.0,0.7898996237123636,1.1870073066039324,0.6981798573781336,1.0567370031579972,4.924159499609068,3.2527397229673003,0.5144644253322909,5.982905982905983,0.02580140734949179,0.3623938570681979,0.5508788268350772,0.7345870690328751,5.207977207977208
8,Curiozitati Din Lumea Plantelor,biologie,10.0,0.5584783277750207,1.0976675898337704,0.7085995237714051,0.9531987950795614,4.528776978417267,3.2009400557120467,0.4838129496402878,5.641221374045801,0.01079136690647482,0.5077238851331402,0.7108922688332776,0.5040845210166636,5.755725190839693
9,Referat Albinele,biologie,5.55,1.0251631435288229,1.0778766906261634,0.7127746340904008,0.8454052465790881,4.365145228215767,3.172036879078316,0.4771784232365146,6.0,0.01867219917012448,0.2372560127284987,0.13184842866004767,0.6185052227003471,6.181159420289855
11,Referat Baltagul - rezumat,romana,5.64,0.7912167163703467,1.0388627517608875,0.6678130152818225,0.8439485770511064,3.9782743637492235,2.6675225906977333,0.35630043451272503,6.566739606126915,0.019242706393544383,0.4929336633865154,0.026795721836961512,0.6492494304053641,5.164113785557987
12,Dubla Nastere A Cangurului,biologie,9.0,0.6585193500521734,1.061832027548402,0.6799269208102171,0.8100794254841008,4.1230769230769235,2.8085409745923378,0.4461538461538462,5.2109375,0.02197802197802198,0.5552144459452727,0.9252344954913088,0.0,5.953125
13,Referat Baltagul - drumul Vitoriei Lipan,romana,6.87,1.7867376355631022,0.9819304528508432,0.6952648458528834,0.7851727067917263,3.8041237113402064,2.753056810682573,0.4164948453608248,8.375,0.061855670103092786,0.2661231448473122,0.0,0.0,5.980769230769232
14,Mijloace De Transport,geografie,8.0,0.5559461981131069,1.1207370636067302,0.7103063357844699,0.8500841229078426,4.459477124183007,3.0936957333977206,0.6071895424836601,6.538293216630198,0.02679738562091503,0.5559901500093483,-0.058863572759427066,0.6433675468763446,5.3851203501094105
15,Popa Tanda - Caracterizare,romana,8.0,0.6740909213887432,1.0668502563679587,0.6838274117477838,0.8289132741513137,4.149456521739131,2.8890545426522847,0.5027173913043478,8.015424164524424,0.06068840579710145,0.5609847922730661,0.8161581811837365,0.6286335150273547,5.727506426735219
16,Paralela Baltagul Miorita,romana,8.0,0.7677229466596642,1.102200778488537,0.7302329960256397,0.9714785082501568,4.513428120063192,3.1205058471433937,0.617693522906793,6.321951219512195,0.03949447077409163,0.6137765309826763,0.8404776115911805,0.6435873868513287,5.609756097560974
17,Referat Educatia,psihologie,5.21,0.9470056558360578,1.1006725732862794,0.7442533950553739,0.9866927764265284,4.668924003009781,3.3776291144428745,0.4529721595184349,5.956403269754769,0.04439428141459744,0.17072963207160582,0.14941466393610855,0.631105769145275,5.822888283378746
18,Referat Soldatul de plumb - Rezumat,romana,6.46,0.4603744042578603,0.9927940244910716,0.6606242624130292,0.7773886508303692,3.752105896510229,2.524323555980581,0.4777376654632972,7.538152610441768,0.027677496991576414,0.6382890510647068,0.8127339090823413,0.6425157793800987,5.6345381526104426
19,Referat Psalmi de Tudor Arghezi,romana,5.6,0.9159936609301365,1.030666479819132,0.7403869938935792,0.8605787458320985,4.1579881656804725,3.106822946620535,0.5426035502958579,7.503386004514673,0.034911242603550295,0.4466379736747635,0.03789701413619168,0.4764888486233046,5.557562076749437
20,Referat Gabriel Garcia Marquez  - viata si opera,romana,5.56,1.0276311522359576,1.1048748777633992,0.7642802284002251,0.8909262615142397,4.625779625779626,3.361853810931953,0.5135135135135135,5.051660516605166,0.056133056133056136,0.2310481951704039,0.1048506652921205,0.5671194739460697,5.900369003690036
21,Referat Caracterizarea lui Gheorghita Lipan,romana,5.25,0.9651343039234556,1.0748844083146896,0.7023150811475288,0.8689346845568023,4.468172484599589,3.2111100453385686,0.4250513347022588,7.259615384615384,0.053388090349075976,0.5216838518753986,0.10551516391056223,0.3677610399936004,6.2980769230769225
22,Unificarea Italiei,istorie,9.0,0.5664513293924124,1.0995531420610931,0.7091710760807585,0.9363855773940816,4.441919191919191,3.0544290269653542,0.5063131313131313,6.817796610169491,0.043560606060606064,0.6280668773352686,0.4298133706017061,0.5676775353479852,5.28177966101695
23,Recombinari,biologie,10.0,0.3738284076947809,1.1967257183012217,0.7376266426363642,1.068133998430116,5.181384248210024,3.806908360736396,0.5807478122513922,6.141057934508816,0.02068416865552904,0.7537913187935603,0.7722986509473599,0.6943468091674523,5.506297229219143
24,Ion Creanga,romana,8.0,0.7576456823615418,1.0205664398032028,0.7097779706317489,0.8542280453378006,4.0352722772277225,2.877583854942872,0.3483910891089109,5.501385041551247,0.09467821782178218,0.4129377088302116,0.1508170969719439,0.5796313660028752,5.54016620498615
25,Plumb,romana,9.0,0.4286603821306986,1.1071356809803967,0.7667234671625593,1.022174085180441,4.754749568221071,3.4151034471626884,0.5215889464594128,6.088050314465409,0.02072538860103627,0.6408766918635859,0.7389577813425959,0.6618818144990212,6.459119496855347
26,Cascada Iguacu,geografie,10.0,0.6474694513536209,1.116491446880944,0.6681819710792718,0.8303490182184505,4.486807387862797,2.9570612875332905,0.4261213720316623,5.6473429951690814,0.021108179419525062,0.6813601600164906,0.0,0.7050751190907296,5.661835748792272
27,Caracterizare Gheorgita,romana,9.0,1.2357474048756107,0.997720520340176,0.6997861798448033,0.8290387656543907,4.0681415929203535,3.041745731060145,0.3548672566371681,7.428,0.035398230088495575,0.17730704406747091,0.8184412552702849,0.7027940177695329,5.836
28,Referat Despre cai,biologie,5.92,0.9182496769699122,1.1087166659094032,0.7023957756956736,0.8545404489635929,4.5687540348612,3.1850676812128365,0.499677211103938,6.378723404255319,0.023886378308586184,0.4660127646848745,0.08944999353905707,0.7802796808070817,5.791489361702127
29,Referat Ion Luca Caragiale - Telegrame,romana,5.22,1.1066848339737638,1.265701155281734,0.6352203999936448,1.0992333279255615,5.090384615384616,3.149074526272313,0.5230769230769231,7.36842105263158,0.12692307692307692,0.5581079509669604,0.1758257009621502,0.7206193467319957,6.25657894736842
30,Referat Ion Luca Caragiale - Vizita (caracterizarea lui Ionel),romana,5.49,1.0737365992394043,0.9691113847541593,0.7215025685338738,0.8433771247300341,3.9355432780847135,3.035079047443503,0.35174953959484345,9.392307692307693,0.09392265193370164,0.362781712327587,0.050066729731389,0.5121941303118742,5.984615384615385
31,"Referat Scrisoarea a III-a, Mihai Eminescu - caracterizarea personajelor principale",romana,7.1,0.9811770322939186,1.0483454332113722,0.6768696445231193,0.8262758059890932,4.125608568646543,2.8794486718206502,0.4371957156767283,9.056603773584905,0.060370009737098336,0.3988797474811327,0.12631584003593646,0.7107665421282493,5.79245283018868
32,Referat National si universal in opera lui Eminescu,romana,5.41,1.0503483886738518,1.113354657918464,0.7490267360895528,0.9928395563561152,4.738095238095238,3.472830900026381,0.4711779448621554,5.372093023255813,0.03634085213032581,0.2854598665688877,0.09866276881468952,0.6448742650289009,5.3023255813953485
33,Taigaua,geografie,9.0,0.5041187010207905,1.1690702193246874,0.6979465755720772,1.0308688018566383,4.7688513037350235,3.141265368508598,0.5377026074700493,4.680100755667507,0.02255109231853418,0.6192710088573173,0.5514064545370383,0.6935726743835922,5.773299748110831
34,Referat Veverita,biologie,7.4,0.8765774251598224,1.0768379072761771,0.6719907035250469,0.8197524863298785,4.24941724941725,2.8009297866010394,0.39704739704739705,6.200598802395209,0.017094017094017096,0.5327145769535109,0.0918920445774567,0.1524717197160382,5.458083832335329
35,Australia,geografie,9.0,0.6420166879945381,1.1241139663918571,0.7004224149666572,0.9722702481766464,4.531611148878313,3.11396679030797,0.43371855880353494,6.058548009367683,0.03806934058463631,0.5205569719629995,0.0,0.0,5.0257611241217806
36,Referat Chirita in provincie - Vasile Alecsandri,romana,5.53,0.8603612231452112,1.0496051265297446,0.7060284574869843,0.8595547440091612,4.059810357403356,2.8416988275999904,0.4514952589350839,6.6764705882352935,0.021152443471918303,0.26778101973960483,0.004874107796922132,0.5454150893453734,5.411764705882354
37,Vantul,geografie,9.0,0.3584606445436324,1.1869121304049075,0.6586902043104592,1.0067913457607522,4.696629213483146,3.0185428808608146,0.4569288389513109,6.7984189723320165,0.02122347066167291,0.7326486875109858,0.8959026615750744,0.7552993270716869,5.41106719367589
38,Nucul,biologie,8.0,0.4321608590507375,1.1054413560143537,0.6926336002860138,0.9280908347207578,4.395264116575592,3.042649299008592,0.4098360655737705,6.175324675324675,0.029143897996357013,0.6693187955687825,0.0,0.5962483370784835,6.616883116883117
